created:{param:relative-date},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2019-11-23,0,4,5,3,10,27
2019-11-22,0,7,1,4,9,27
2019-11-21,0,7,0,5,8,27
2019-11-20,0,7,0,8,9,27
2019-11-19,1,2,1,12,5,28
2019-11-18,0,0,1,12,5,28
2019-11-17,0,0,3,11,4,28
2019-11-16,0,1,6,8,4,28
2019-11-15,0,1,6,8,4,27
2019-11-14,0,1,7,7,4,27
2019-11-13,0,3,6,7,5,26
2019-11-12,0,5,7,3,5,26
2019-11-11,0,6,6,3,5,26
2019-11-10,0,6,6,4,7,24
2019-11-09,0,6,7,3,7,24
2019-11-08,0,12,3,2,7,24
2019-11-07,0,9,4,1,7,24
2019-11-06,1,6,4,0,10,22
2019-11-05,1,2,5,1,10,22
2019-11-04,0,3,5,3,8,23
2019-11-03,0,4,3,3,9,22
2019-11-02,0,6,0,3,9,22
2019-11-01,0,5,0,3,9,22
2019-10-31,0,3,0,4,8,22
2019-10-30,1,1,0,5,7,23
2019-10-29,0,2,2,4,7,23
2019-10-28,0,1,3,4,5,23
2019-10-27,0,1,3,4,5,23
2019-10-26,0,2,3,5,5,24
2019-10-25,0,2,4,7,5,24
2019-10-24,0,6,3,5,6,23
2019-10-23,0,4,4,4,7,22
2019-10-22,0,3,6,5,7,22
2019-10-21,0,2,6,6,5,21
2019-10-20,0,4,4,6,5,21
2019-10-19,0,6,2,6,5,21
2019-10-18,0,6,4,5,4,21
2019-10-17,0,5,3,4,5,21
2019-10-16,0,3,3,6,4,21
2019-10-15,0,3,4,8,4,21
2019-10-14,0,6,5,4,5,20
2019-10-13,0,8,4,4,5,20
2019-10-12,0,6,4,4,6,19
2019-10-11,0,1,7,5,6,22
2019-10-10,0,5,4,4,7,21
2019-10-09,0,4,7,2,7,21
2019-10-08,0,7,6,4,6,21
2019-10-07,0,6,5,5,5,21
2019-10-06,0,9,2,5,5,21
2019-10-05,0,9,1,5,4,21
2019-10-04,0,5,3,4,4,21
2019-10-03,0,4,2,4,4,21
2019-10-02,0,2,2,7,3,22
2019-10-01,0,4,3,5,3,22
2019-09-30,0,2,5,4,3,22
2019-09-29,0,2,5,4,3,22
2019-09-28,0,2,5,4,3,21
2019-09-27,0,7,5,3,3,22
2019-09-26,0,8,3,3,2,23
2019-09-25,0,6,5,3,2,23
2019-09-24,0,5,5,4,1,23
2019-09-23,0,4,4,4,1,24
2019-09-22,0,7,1,4,3,22
2019-09-21,0,7,2,2,3,22
2019-09-20,0,5,2,2,3,22
2019-09-19,4,1,3,1,3,22
2019-09-18,2,0,3,2,4,22
2019-09-17,2,2,2,1,5,23
2019-09-16,0,4,3,1,5,23
2019-09-15,0,6,2,1,6,22
2019-09-14,2,5,1,1,6,22
2019-09-13,3,3,1,1,6,22
2019-09-12,2,2,1,2,5,22
2019-09-11,2,1,1,2,5,22
2019-09-10,1,0,1,2,5,22
2019-09-09,0,1,0,2,5,22
2019-09-08,0,2,0,2,6,21
2019-09-07,0,2,0,2,6,21
2019-09-06,2,0,1,3,4,21
2019-09-05,0,0,2,3,3,21
2019-09-04,1,0,3,3,3,21
2019-09-03,0,0,3,3,3,21
2019-09-02,0,2,2,3,3,21
2019-09-01,0,4,0,3,4,20
2019-08-31,1,3,0,3,4,20
2019-08-30,1,3,2,3,4,19
2019-08-29,2,1,3,2,4,19
2019-08-28,2,0,4,2,4,18
2019-08-27,0,0,4,2,4,18
2019-08-26,1,3,3,2,4,18
2019-08-25,0,4,2,2,4,18
2019-08-24,0,6,0,2,5,17
2019-08-23,3,4,1,3,5,16
2019-08-22,2,3,1,3,5,16
2019-08-21,4,2,2,2,5,16
2019-08-20,1,1,2,3,5,16
2019-08-19,2,2,1,3,6,15
2019-08-18,0,3,1,3,6,15
2019-08-17,1,3,0,3,7,14
2019-08-16,2,1,3,1,6,14
2019-08-15,1,1,3,1,9,14
2019-08-14,2,0,3,2,11,13
2019-08-13,0,0,3,3,10,13
2019-08-12,0,6,0,4,9,13
2019-08-11,0,6,0,4,9,13
2019-08-10,0,6,0,4,10,12
2019-08-09,6,0,1,3,10,12
2019-08-08,0,1,1,6,7,13
2019-08-07,1,1,2,7,5,13
2019-08-06,0,2,3,6,5,13
2019-08-05,2,1,4,6,4,13
2019-08-04,0,2,3,7,4,14
2019-08-03,0,3,2,8,3,14
2019-08-02,1,3,1,8,3,14
2019-08-01,1,3,4,5,2,14
2019-07-31,1,3,6,3,2,14
2019-07-30,2,2,6,4,2,14
2019-07-29,2,0,8,5,1,14
2019-07-28,0,6,4,5,1,14
2019-07-27,0,9,3,3,1,14
2019-07-26,1,8,3,3,2,13
2019-07-25,5,4,5,2,1,13
2019-07-24,4,1,6,2,2,16
2019-07-22,1,3,7,1,2,17
2019-07-21,0,10,1,1,2,17
2019-07-20,3,8,1,1,2,17
2019-07-19,1,8,1,2,4,23
2019-07-18,7,2,2,0,5,22
2019-07-17,3,1,2,0,5,22
2019-07-16,2,2,2,0,5,22
2019-07-15,1,2,2,0,5,22
2019-07-14,0,6,0,0,6,22
2019-07-13,2,4,0,0,7,21
2019-07-12,3,2,0,1,6,21
2019-07-11,2,0,0,1,6,21
2019-07-10,1,0,0,2,8,19
2019-07-09,0,0,0,3,8,19
2019-07-08,0,0,0,6,6,19
2019-07-07,0,0,2,6,6,19
2019-07-06,0,0,2,6,6,19
2019-07-05,0,1,3,5,5,19
2019-07-04,0,1,4,5,5,18
2019-07-03,0,2,4,4,5,18
2019-07-02,1,1,4,5,5,17
2019-07-01,0,3,4,3,6,16
2019-06-30,1,6,3,3,6,16
2019-06-29,1,6,2,3,7,15
2019-06-28,4,3,3,3,7,15
2019-06-27,1,5,2,3,7,14
2019-06-26,2,4,2,3,7,14
2019-06-25,1,4,4,3,8,13
2019-06-24,4,2,3,4,8,15
2019-06-23,0,3,2,4,8,15
2019-06-22,0,3,2,4,9,14
2019-06-21,2,2,1,4,9,14
2019-06-20,2,2,1,3,10,13
2019-06-19,1,3,2,3,10,13
2019-06-18,1,2,3,4,10,12
2019-06-17,2,1,6,2,10,12
2019-06-16,1,3,4,3,10,11
2019-06-15,0,4,3,4,9,11
2019-06-14,1,3,4,4,9,10
2019-06-13,2,4,2,5,8,10
2019-06-12,1,4,2,5,8,10
2019-06-11,0,9,3,5,7,10
2019-06-10,7,5,1,6,7,10
2019-06-09,3,3,2,6,6,10
2019-06-08,0,3,3,5,6,10
2019-06-07,2,2,3,4,6,10
2019-06-06,2,3,4,6,5,10
2019-06-05,2,2,4,5,6,9
2019-06-04,1,2,4,7,7,9
2019-06-03,4,3,4,6,7,9
2019-06-02,1,4,4,6,9,8
2019-06-01,1,4,5,4,10,7
2019-05-31,1,5,4,6,8,7
2019-05-30,3,3,4,6,8,5
2019-05-29,2,4,5,7,7,5
2019-05-28,3,4,5,6,6,6
2019-05-27,1,6,4,6,7,6
2019-05-26,1,6,4,5,7,6
2019-05-25,4,3,3,5,7,6
2019-05-24,1,5,4,4,9,8
2019-05-23,3,5,4,3,9,8
2019-05-22,3,5,4,3,11,8
2019-05-21,3,4,6,4,10,8
2019-05-20,2,3,6,5,8,9
2019-05-19,1,4,6,7,8,12
2019-05-18,0,7,4,6,8,12
2019-05-17,2,9,2,7,9,10
2019-05-16,3,7,2,10,9,8
2019-05-15,4,3,3,10,9,8
2019-05-14,1,2,5,8,8,8
2019-05-13,1,1,7,6,8,8
2019-05-12,0,2,8,4,9,7
2019-05-11,1,2,7,5,9,6
2019-05-10,0,5,5,5,8,6
2019-05-09,1,6,5,4,7,6
2019-05-08,0,7,3,5,6,6
2019-05-07,3,4,4,4,6,6
2019-05-06,3,5,4,5,6,6
2019-05-05,4,11,2,5,6,6
2019-05-04,4,7,3,4,6,6
2019-05-03,2,6,3,4,6,6
2019-05-02,9,3,5,4,6,6
2019-05-01,3,4,7,4,4,6
2019-04-30,3,4,6,6,2,6
2019-04-29,3,5,7,5,3,6
2019-04-28,0,9,6,6,3,7
2019-04-27,4,7,3,6,4,6
2019-04-26,3,7,3,6,3,6
2019-04-25,4,9,3,8,2,6
2019-04-24,4,8,8,5,2,6
2019-04-23,4,6,11,4,2,5
2019-04-22,4,4,9,3,2,6
2019-04-21,0,8,7,3,2,6
2019-04-20,0,12,4,3,2,6
2019-04-19,4,11,3,2,2,6
2019-04-18,5,9,3,1,4,4
2019-04-17,6,7,4,0,5,6
2019-04-16,8,5,4,0,5,7
2019-04-15,3,3,5,0,6,7
2019-04-14,1,6,3,0,6,7
2019-04-13,3,7,0,1,5,7
2019-04-12,3,9,0,1,5,7
2019-04-11,5,6,1,2,4,7
2019-04-10,6,1,0,3,4,8
2019-04-09,2,2,0,3,4,11
2019-04-08,2,1,1,3,6,12
2019-04-07,2,1,1,4,5,14
2019-04-06,1,0,2,3,5,14
2019-04-05,0,0,3,2,5,14
2019-04-04,0,2,3,1,5,17
2019-04-03,2,2,3,2,5,17
2019-04-02,1,2,2,4,3,17
2019-04-01,1,2,1,4,3,17
2019-03-31,0,3,2,4,2,17
2019-03-30,1,3,1,4,2,17
2019-03-29,2,2,1,4,2,17
2019-03-28,3,2,4,4,1,17
2019-03-27,2,2,3,5,0,17
2019-03-26,3,1,5,3,0,17
2019-03-25,0,2,4,3,0,17
2019-03-24,1,4,4,2,1,16
2019-03-23,1,4,4,2,1,16
2019-03-22,1,5,2,2,1,16
2019-03-21,3,4,2,1,1,16
2019-03-20,2,4,2,1,1,17
2019-03-19,2,3,5,1,1,17
2019-03-18,1,1,5,1,1,18
